ID,age,sex,n_child,HH_income,married,race,education,state,cluster
20030201032078,65,2,0,10000,1,white,HS,Minnesota,Cluster 1
20030302031933,76,1,0,75000,1,white,Some college,Michigan,Cluster 3
20030302032417,63,2,0,0,0,black,Some college,New York,Cluster 2
20030302033153,44,1,1,60000,1,white,HS,South Dakota,Cluster 6
20030403031032,18,1,1,75000,0,white,Did not graduate from HS,Connecticut,Cluster 4
20030403031192,70,2,0,35000,1,white,Some college,Florida,Cluster 1
20030403032754,20,2,0,75000,0,white,Some college,Ohio,Cluster 4
20030403033462,53,2,0,NA,1,white,HS,Utah,Cluster 6
20030404030563,47,1,1,35000,1,white,Did not graduate from HS,Alaska,Cluster 2
20030504032674,39,2,0,75000,1,white,Some college,North Carolina,Cluster 5
20030505033003,62,2,0,75000,1,white,HS,Pennsylvania,Cluster 3
20030604030817,23,1,3,25000,0,white,Some college,California,Cluster 1
20030605032574,47,2,1,35000,1,white,HS,New York,Cluster 1
20030605033107,23,2,0,35000,0,black,HS,South Carolina,Cluster 2
20030606030031,37,1,0,NA,1,white,Bachelors,Florida,Cluster 2
20030606031235,17,1,1,75000,0,white,Did not graduate from HS,Florida,Cluster 2
20030606033119,50,2,0,50000,1,white,HS,South Carolina,Cluster 1
20030706030588,71,2,0,10000,1,white,HS,Arizona,Cluster 6
20030806033122,47,2,1,NA,1,white,Bachelors,South Dakota,Cluster 1
20030807033340,80,2,0,75000,1,white,HS,Texas,Cluster 3
20030807033442,73,2,0,40000,1,white,Some college,Vermont,Cluster 1
20030907032495,48,2,2,75000,1,white,Some college,New York,Cluster 6
20030908031692,19,1,0,40000,0,white,HS,Kentucky,Cluster 2
20030909033293,30,2,2,75000,1,asian,Masters,Texas,Cluster 6
20031009030922,30,1,0,35000,0,asian,Bachelors,California,Cluster 3
20031009033445,44,2,3,50000,1,white,Some college,Utah,Cluster 5
20031009033543,49,2,0,75000,1,white,HS,Washington,Cluster 6
20031010030162,15,2,2,15000,0,white,Did not graduate from HS,Oregon,Cluster 3
20031110032093,31,2,2,40000,1,white,Masters,Minnesota,Cluster 6
20031110033180,39,2,1,0,0,white,Some college,Tennessee,Cluster 4
20031211031454,39,1,2,60000,1,white,Bachelors,Illinois,Cluster 5
20031211031876,46,2,1,75000,1,white,Bachelors,Massachusetts,Cluster 4
20031211033546,38,2,2,75000,1,white,Some college,Washington,Cluster 2
20040111033419,24,1,0,20000,1,white,Some college,Utah,Cluster 4
20040112030854,65,2,0,50000,1,white,Masters,California,Cluster 1
20040112030915,39,1,2,75000,1,white,Bachelors,California,Cluster 2
20040112031115,29,2,0,100000,1,white,NA,NA,Cluster 1
20040201040552,51,1,1,100000,1,white,Bachelors,Arizona,Cluster 5
20040201040797,17,1,3,25000,0,white,Did not graduate from HS,California,Cluster 4
20040201040907,58,1,0,40000,1,black,HS,Florida,Cluster 3
20040201041584,35,1,0,60000,1,black,Some college,Missouri,Cluster 1
20040201042121,70,1,0,NA,1,white,Some college,Pennsylvania,Cluster 5
20040202041403,51,2,0,75000,1,white,Bachelors,Massachusetts,Cluster 2
20040212030534,62,2,0,5000,0,white,Did not graduate from HS,Alabama,Cluster 3
20040302041055,40,2,0,35000,1,black,Some college,Georgia,Cluster 3
20040302042316,40,2,2,150000,0,white,Doctoral,Texas,Cluster 6
20040303042074,42,2,0,NA,1,white,HS,Oregon,Cluster 5
20040503040840,16,2,3,30000,0,white,Did not graduate from HS,Colorado,Cluster 4
20040504040081,29,1,0,NA,1,white,Did not graduate from HS,Missouri,Cluster 2
20040505041515,80,2,0,75000,1,white,Some college,Minnesota,Cluster 6
20040605040940,72,2,0,0,0,white,Did not graduate from HS,Florida,Cluster 1
20040605041181,53,2,1,75000,1,white,HS,Illinois,Cluster 3
20040605042464,65,2,0,NA,0,white,Some college,Virginia,Cluster 6
20040606042210,25,1,2,15000,1,white,Did not graduate from HS,Tennessee,Cluster 1
20040706041212,36,2,2,40000,1,white,Bachelors,Iowa,Cluster 6
20040805042172,45,1,0,40000,0,black,Doctoral,Pennsylvania,Cluster 5
20040807040669,18,1,5,10000,0,asian,HS,California,Cluster 1
20040807041413,75,1,0,NA,1,white,Masters,Michigan,Cluster 1
20040807042266,36,2,0,35000,0,white,Bachelors,Texas,Cluster 5
20040808041614,23,1,0,0,0,asian,Masters,Missouri,Cluster 4
20040908042368,15,1,1,5000,0,white,Did not graduate from HS,Texas,Cluster 4
20040908042456,47,1,3,150000,1,white,NA,Virginia,Cluster 3
20040909042536,70,2,0,15000,0,black,Some college,Wisconsin,Cluster 6
20041108041999,21,1,0,100000,0,black,Some college,Ohio,Cluster 1
20041109041201,42,2,3,60000,1,white,Bachelors,Indiana,Cluster 5
20041110040047,38,1,0,5000,0,black,HS,Georgia,Cluster 1
20041110041989,50,2,0,75000,1,white,HS,Ohio,Cluster 2
20041110042488,53,2,0,150000,1,white,Bachelors,Washington,Cluster 3
20041111040712,48,2,2,7500,0,white,HS,California,Cluster 3
20041210042107,17,2,2,NA,0,white,Did not graduate from HS,Pennsylvania,Cluster 3
20041211041118,64,1,0,75000,1,black,HS,Illinois,Cluster 1
20041211041570,56,2,0,40000,1,white,Bachelors,Missouri,Cluster 5
20050101051016,20,2,3,25000,0,black,HS,Florida,Cluster 2
20050111040507,32,1,5,40000,1,white,HS,Alabama,Cluster 2
20050112040025,18,2,0,150000,0,white,NA,Florida,Cluster 2
20050212040759,20,1,0,60000,0,white,HS,California,Cluster 4
20050302051753,20,2,1,NA,0,white,Some college,New York,Cluster 6
20050302051778,43,2,3,150000,1,white,Bachelors,New York,Cluster 4
20050302051964,79,2,0,35000,0,white,HS,Oklahoma,Cluster 1
20050403050660,44,2,3,12500,1,white,NA,California,Cluster 4
20050403052018,26,2,4,35000,1,white,HS,Oregon,Cluster 5
20050504051935,21,1,0,0,0,white,HS,Ohio,Cluster 4
20050505050608,66,2,0,NA,1,other,HS,Arkansas,Cluster 3
20050505052536,77,2,0,100000,1,white,Some college,Wisconsin,Cluster 6
20050605050790,64,1,2,12500,1,white,Did not graduate from HS,California,Cluster 5
20050706051577,19,2,1,15000,0,black,HS,Nebraska,Cluster 2
20050806051823,22,2,2,75000,1,white,Some college,North Carolina,Cluster 2
20050806051929,34,2,2,75000,1,white,Some college,Ohio,Cluster 3
20050807050517,16,2,2,10000,0,white,Did not graduate from HS,Alabama,Cluster 4
20050807051476,25,1,0,25000,1,white,Some college,Michigan,Cluster 2
20050807051570,78,1,0,NA,1,white,Did not graduate from HS,Missouri,Cluster 3
20050807052008,61,2,0,40000,1,white,Did not graduate from HS,Ohio,Cluster 5
20050907050712,32,1,2,40000,0,white,Did not graduate from HS,California,Cluster 2
20050907052087,25,1,0,30000,1,white,HS,Pennsylvania,Cluster 1
20050908051984,24,2,0,75000,0,white,Bachelors,Ohio,Cluster 5
20051009050580,18,2,1,NA,0,white,HS,Arkansas,Cluster 4
20051010052236,19,2,4,50000,0,asian,Did not graduate from HS,Virginia,Cluster 4
20051210051528,34,2,2,NA,1,white,Bachelors,New Hampshire,Cluster 6
